datetime,open,high,low,close
2017-12-29T21:00:00,1303.05,1303.31,1301.6,1302.18
2018-01-01T23:00:00,1302.18,1307.57,1302.18,1306.63
2018-01-02T00:00:00,1306.63,1306.76,1305.14,1305.71
2018-01-02T04:00:00,1305.71,1307.19,1305.71,1307.09
2018-01-02T05:00:00,1307.09,1307.56,1306.72,1307.29
2018-01-02T06:00:00,1307.29,1309.92,1307.29,1309.87
2018-01-02T07:00:00,1309.87,1310.18,1308.67,1309.3
2018-01-02T08:00:00,1309.3,1310.76,1308.43,1310.15
2018-01-02T09:00:00,1310.15,1312.25,1309.91,1312.12
2018-01-02T10:00:00,1312.12,1312.74,1310.05,1311.77
2018-01-02T11:00:00,1311.77,1312.22,1310.05,1310.09
2018-01-02T12:00:00,1310.09,1312.52,1310,1311.99
2018-01-02T13:00:00,1311.99,1314.32,1311.81,1313.83
2018-01-02T14:00:00,1313.83,1314.5,1312.13,1312.55
2018-01-02T15:00:00,1312.55,1313.49,1310.6,1312.13
2018-01-02T16:00:00,1312.13,1313.54,1311.11,1311.12
2018-01-02T17:00:00,1311.12,1312.35,1311.11,1312.35
2018-01-02T18:00:00,1312.35,1314.75,1312.26,1314.44
2018-01-02T19:00:00,1314.44,1316.08,1314.36,1315.85
2018-01-02T20:00:00,1315.85,1318.34,1315.61,1318.14
2018-01-02T21:00:00,1318.14,1318.81,1317.24,1317.4
2018-01-02T23:00:00,1317.4,1321.39,1316.43,1320.16
2018-01-03T00:00:00,1320.16,1321.18,1320.08,1320.51
2018-01-03T01:00:00,1320.51,1320.54,1316.76,1318.15
2018-01-03T02:00:00,1318.15,1318.3,1311.79,1312.14
2018-01-03T03:00:00,1312.14,1314.65,1311.8,1314.01
2018-01-03T04:00:00,1314.01,1314.01,1312.2,1313.53
2018-01-03T05:00:00,1313.53,1314.66,1313.19,1314.54
2018-01-03T06:00:00,1314.54,1315.33,1312.83,1313.1
2018-01-03T07:00:00,1313.1,1314.19,1311.71,1313.54
2018-01-03T08:00:00,1313.54,1315.08,1313.33,1314.28
2018-01-03T09:00:00,1314.28,1314.83,1313.74,1314.52
2018-01-03T10:00:00,1314.52,1314.87,1313.49,1313.94
2018-01-03T11:00:00,1313.94,1316.17,1313.54,1315.58
2018-01-03T12:00:00,1315.58,1317.44,1313.15,1314.72
2018-01-03T13:00:00,1314.72,1316.4,1314.36,1316.31
2018-01-03T14:00:00,1316.31,1317.81,1315.1,1316.83
2018-01-03T15:00:00,1316.83,1317.02,1313.62,1316.42
2018-01-03T16:00:00,1316.42,1317.22,1315.65,1316.84
2018-01-03T17:00:00,1316.84,1317.2,1315.58,1315.71
2018-01-03T18:00:00,1315.71,1317.16,1315.69,1316.09
2018-01-03T19:00:00,1316.09,1316.13,1307.4,1312.89
2018-01-03T20:00:00,1312.89,1316.58,1312.84,1314.86
2018-01-03T21:00:00,1314.86,1315.64,1312,1312.98
2018-01-03T23:00:00,1312.98,1313.53,1310.47,1311.06
2018-01-04T00:00:00,1311.06,1311.08,1308.37,1309.12
2018-01-04T01:00:00,1309.12,1309.75,1305.77,1307.04
2018-01-04T02:00:00,1307.04,1307.89,1306.52,1306.92
2018-01-04T03:00:00,1306.92,1307.25,1306.02,1307.12
2018-01-04T04:00:00,1307.12,1308.33,1307.1,1307.91
2018-01-04T05:00:00,1307.91,1310.17,1307.51,1310
2018-01-04T06:00:00,1310,1310.8,1309.01,1310
2018-01-04T07:00:00,1310,1311.29,1308.1,1310.56
2018-01-04T08:00:00,1310.56,1312.01,1310.43,1311.51
2018-01-04T09:00:00,1311.51,1314.23,1311.43,1313.65
2018-01-04T10:00:00,1313.65,1314.21,1312.14,1313.41
2018-01-04T11:00:00,1313.41,1313.76,1312.4,1312.82
2018-01-04T12:00:00,1312.82,1313.38,1311.56,1313.19
2018-01-04T13:00:00,1313.19,1317.19,1309.02,1314.66
2018-01-04T14:00:00,1314.66,1316.39,1314.11,1314.64
2018-01-04T15:00:00,1314.64,1319.8,1314.28,1319.7
2018-01-04T16:00:00,1319.7,1319.94,1316.67,1319.08
2018-01-04T17:00:00,1319.08,1319.72,1318.05,1319.54
2018-01-04T18:00:00,1319.54,1320.9,1318.12,1319.1
2018-01-04T19:00:00,1319.1,1324.67,1319.07,1324.27
2018-01-04T20:00:00,1324.27,1325.91,1321.67,1321.78
2018-01-04T21:00:00,1321.78,1323.86,1321.72,1322.57
2018-01-04T23:00:00,1322.57,1322.85,1320.64,1320.86
2018-01-05T00:00:00,1320.86,1323.35,1320.86,1322.78
2018-01-05T01:00:00,1322.78,1322.86,1321.15,1321.85
2018-01-05T02:00:00,1321.85,1321.85,1320.56,1320.98
2018-01-05T03:00:00,1320.98,1321.9,1320.97,1321.28
2018-01-05T04:00:00,1321.28,1321.81,1321.09,1321.78
2018-01-05T05:00:00,1321.78,1321.78,1319.8,1320.13
2018-01-05T06:00:00,1320.13,1320.18,1317.57,1318.22
2018-01-05T07:00:00,1318.22,1319.54,1317.83,1318.18
2018-01-05T08:00:00,1318.18,1318.57,1316.58,1317.92
2018-01-05T09:00:00,1317.92,1318.2,1316.51,1316.62
2018-01-05T10:00:00,1316.62,1317.65,1316.23,1317.31
2018-01-05T11:00:00,1317.31,1317.31,1316.27,1316.94
2018-01-05T12:00:00,1316.94,1318.21,1316.07,1317.36
2018-01-05T13:00:00,1317.36,1322.78,1315.8,1320.66
2018-01-05T14:00:00,1320.66,1320.75,1313.58,1316.07
